Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
0.415211,0.81413,0,0.403313,0.596687
5.89436,1.02957,0,0.074543,0.925457
0.798468,0.790928,0,0.887613,0.112387
1.96486,0.788507,0,1,0
5.84295,0.322232,0.0464204,0.95358,0
0.0744072,0.179344,0.445952,0.414423,0.139625
0.223413,0.945325,0,0.114876,0.885124
2.18271,0.0351474,0.881539,0.118461,0
1.01105,0.719392,0,1,0
4.5156,0.267494,0.103563,0.896437,0
4.65041,0.0391506,0.934188,0.065812,0
4.30707,0.618519,0,1,0
0.24768,0.209258,0.21183,0.78817,0
3.15112,0.932226,0,0.39349,0.60651
0.803379,0.932959,0,0.420775,0.579225
1.77218,0.775758,0,1,0
0.284462,0.797187,0,0.298076,0.701924
2.30845,0.623519,0,1,0
5.78609,1.02449,0,0.0493489,0.950651
4.2477,0.945962,0,0.522487,0.477513
1.82248,0.386718,0.00904518,0.990955,0
3.89572,0.6708,0,1,0
1.2046,0.884626,0,0.31003,0.68997
2.88077,0.664109,0,1,0
2.54725,0.373966,0.00618029,0.99382,0
1.92802,0.900778,0,0.439864,0.560136
2.58548,1.02317,0,0.0748626,0.925137
2.70346,0.21989,0.303339,0.696661,0
4.45148,0.783968,0,1,0
0.0901712,0.235718,0.104072,0.647403,0.248524
2.68505,0.319439,0.0390561,0.960944,0
4.07544,0.15315,0.469627,0.530373,0
2.23478,1.00016,0,0.0724942,0.927506
3.94079,0.953648,0,0.184428,0.815572
1.87463,0.952039,0,0.181248,0.818752
0.684269,0.797851,0,0.842493,0.157507
0.67164,0.0728248,0.873595,0.126405,0
1.084,1.01863,0,0.0743618,0.925638
1.3113,1.09872,0,0,1
1.25306,0.526144,0,1,0
1.85821,0.57741,0,1,0
0.81252,0.851974,0,0.686042,0.313958
0.855557,0.66288,0,1,0
0.44677,0.492202,0,1,0
0.513211,0.974811,0,0.111525,0.888475
0.35183,0.161365,0.750044,0.249956,0
1.18176,0.898872,0,0.398469,0.601531
1.55144,0.9977,0,0.0887755,0.911225
1.72363,0.872012,0,0.791411,0.208589
1.13805,0.490749,0,1,0
0.881673,0.98804,0,0.208186,0.791814
1.64442,0.222528,0.175783,0.824217,0
4.51131,0.972188,0,0.198795,0.801205
1.28247,0.694935,0,1,0
1.16982,0.974118,0,0.099006,0.900994
4.58148,0.969549,0,0.227309,0.772691
1.56031,0.975698,0,0.0887755,0.911225
0.149783,0.151076,0.498178,0.501822,0
5.46578,0.511862,0,1,0
3.74836,0.249288,0.174724,0.825276,0
1.15442,0.109788,0.76833,0.23167,0
1.68516,0.393821,0.0275587,0.972441,0
0.824438,0.577054,0,1,0
0.891897,0.319046,0.0158486,0.984151,0
5.71969,0.751033,0,1,0
4.90018,0.982435,0,0.0785216,0.921478
1.71938,0.0419097,0.974577,0.0254232,0
4.8758,0.0924033,0.871481,0.128519,0
2.73294,0.951712,0,0.150885,0.849115
0.617337,1.0463,0,0.0871562,0.912844
1.25243,0.939013,0,0.16613,0.83387
4.97033,0.955736,0,0.230568,0.769432
0.894341,0.531697,0,1,0
0.178801,0.260133,0.105999,0.865484,0.0285166
5.32003,0.738548,0,1,0
0.439051,0.476801,0,1,0
1.2704,0.744012,0,1,0
1.20798,0.37439,0.0418317,0.958168,0
4.22847,0.998616,0,0.127536,0.872464
3.22657,0.961565,0,0.145417,0.854583
0.412907,1.00189,0,0.0928406,0.907159
0.123652,0.992778,0.00078631,0.121718,0.877495
0.142428,0.674134,0.000445337,0.37339,0.626165
1.28928,0.643706,0,1,0
0.792369,0.506486,0,1,0
1.03712,0.98701,0,0.0941896,0.90581
1.62906,0.941051,0,0.225846,0.774154
3.46101,0.989752,0,0.135729,0.864271
3.61705,1.00102,0,0.0684414,0.931559
0.25711,0.948221,0,0.122837,0.877163
5.49711,0.0992106,0.844531,0.155469,0
4.61154,0.830341,0,1,0
4.79825,1.0096,0,0.0704075,0.929592
3.15493,0.0156117,0.887869,0.112131,0
3.97141,0.989113,0,0.113945,0.886055
5.94847,0.0279117,0.863431,0.136569,0
3.45852,0.19792,0.275941,0.724059,0
